a , i , ecc , p , tResStart , tRes , E , Lz , Q , trigger
0.9 , 1.2217304763960306 , 0.3 , 6.176500000005648 , 41100.0 , 35357.46875256744 , 0.004 , 0.08 , 0.002 , 0.006256168748730904
0.9 , 1.2217304763960306 , 0.7 , 6.360900000006037 , 78200.0 , 64838.97599137188 , 0.662 , 0.27 , 0.494 , 0.006130312257779503
0.9 , 0.3490658503988659 , 0.3 , 3.5874000000001844 , 5700.0 , 11741.551378479262 , 0.131 , 0.179 , 0.046 , 0.010578465725892248
0.9 , 0.3490658503988659 , 0.7 , 3.81740000000067 , 21700.0 , 26671.469647875263 , 0.167 , 0.067 , 0.357 , 0.007937147586201983
