a , i , ecc , p , tResStart , tRes
0.95 , 0.9 , 0.1 , 6.843699999996868 , 11400.0 , 63468.035310226594
0.95 , 0.9 , 0.2 , 6.8513999999968505 , 11500.0 , 65265.187395745794
0.95 , 0.9 , 0.3 , 6.864199999996821 , 11800.0 , 68639.90443816365
0.95 , 1.1 , 0.1 , 7.838799999994549 , 23200.0 , 85406.03311709907
0.95 , 1.1 , 0.2 , 7.846599999994531 , 23200.0 , 87728.34592519837
0.95 , 1.1 , 0.3 , 7.8596999999945 , 23800.0 , 92115.36088283373
0.95 , 1.1 , 0.4 , 7.877899999994458 , 24700.0 , 99539.38224931984
0.95 , 1.1 , 0.5 , 7.901199999994404 , 26800.0 , 111943.9370464582
0.95 , 1.3 , 0.1 , 8.905099999992064 , 41900.0 , 113215.75679745323
0.95 , 1.3 , 0.2 , 8.913599999992044 , 42100.0 , 116274.03493518554
0.95 , 1.3 , 0.3 , 8.927799999992011 , 43200.0 , 122057.1700356677
0.95 , 1.3 , 0.4 , 8.947499999991965 , 45100.0 , 131857.08311262654
0.95 , 1.3 , 0.5 , 8.972599999991907 , 48400.0 , 148256.90763654327
0.95 , 1.3 , 0.6 , 9.003099999991836 , 55500.0 , 176843.67440550137
0.95 , 1.3 , 0.7 , 9.038799999991753 , 70600.0 , 231870.221636193
0.95 , 1.3 , 0.8 , 9.079399999991658 , 106200.0 , 361567.1055567317
0.95 , 1.5 , 0.1 , 9.998099999989517 , 68300.0 , 146558.61857870442
