a , i , ecc , p , tResStart , tRes , E , Lz , Q , trigger
0.9 , 1.2217304763960306 , 0.3 , 8.674399999991437 , 37600.0 , 114181.89866495717 , 0.303 , 0.123 , 0.123 , 0.0012142704901196978
0.9 , 1.2217304763960306 , 0.7 , 8.795199999991155 , 62300.0 , 218118.10369940763 , 1.03 , 0.489 , 0.261 , 0.0012829834791449307
0.9 , 0.3490658503988659 , 0.3 , 5.357199999999168 , 1200.0 , 40336.45769820106 , 0.102 , 0.067 , 0.208 , 0.0018918383429382937
0.9 , 0.3490658503988659 , 0.7 , 5.501699999998831 , 4700.0 , 82577.83295667279 , 0.127 , 0.078 , 0.21 , 0.00179925320570467
