a , i , ecc , p
0.9 , 0.34906585039886595 , 0.7 , 3.2
0.9 , 0.34906585039886595 , 0.7 , 3.2000100000000002
0.9 , 0.34906585039886595 , 0.7 , 3.2000200000000003
0.9 , 0.34906585039886595 , 0.7 , 3.2000300000000004
0.9 , 0.34906585039886595 , 0.7 , 3.2000400000000004
0.9 , 0.34906585039886595 , 0.7 , 3.2000500000000005
0.9 , 0.34906585039886595 , 0.7 , 3.2000600000000006
0.9 , 0.34906585039886595 , 0.7 , 3.2000700000000006
0.9 , 0.34906585039886595 , 0.7 , 3.2000800000000007
0.9 , 0.34906585039886595 , 0.7 , 3.2000900000000008
0.9 , 0.34906585039886595 , 0.7 , 3.200100000000001
0.9 , 0.34906585039886595 , 0.7 , 3.200110000000001
0.9 , 0.34906585039886595 , 0.7 , 3.200120000000001
0.9 , 0.34906585039886595 , 0.7 , 3.200130000000001
0.9 , 0.34906585039886595 , 0.7 , 3.200140000000001
0.9 , 0.34906585039886595 , 0.7 , 3.200150000000001
0.9 , 0.34906585039886595 , 0.7 , 3.2001600000000012
0.9 , 0.34906585039886595 , 0.7 , 3.2001700000000013
0.9 , 0.34906585039886595 , 0.7 , 3.2001800000000014
0.9 , 0.34906585039886595 , 0.7 , 3.2001900000000014
0.9 , 0.34906585039886595 , 0.7 , 3.2002000000000015
0.9 , 0.34906585039886595 , 0.7 , 3.2002100000000016
0.9 , 0.34906585039886595 , 0.7 , 3.2002200000000016
0.9 , 0.34906585039886595 , 0.7 , 3.2002300000000017
0.9 , 0.34906585039886595 , 0.7 , 3.2002400000000017
0.9 , 0.34906585039886595 , 0.7 , 3.200250000000002
0.9 , 0.34906585039886595 , 0.7 , 3.200260000000002
0.9 , 0.34906585039886595 , 0.7 , 3.200270000000002
0.9 , 0.34906585039886595 , 0.7 , 3.200280000000002
0.9 , 0.34906585039886595 , 0.7 , 3.200290000000002
0.9 , 0.34906585039886595 , 0.7 , 3.200300000000002
0.9 , 0.34906585039886595 , 0.7 , 3.200310000000002
0.9 , 0.34906585039886595 , 0.7 , 3.2003200000000023
0.9 , 0.34906585039886595 , 0.7 , 3.2003300000000023
0.9 , 0.34906585039886595 , 0.7 , 3.2003400000000024
0.9 , 0.34906585039886595 , 0.7 , 3.2003500000000025
0.9 , 0.34906585039886595 , 0.7 , 3.2003600000000025
0.9 , 0.34906585039886595 , 0.7 , 3.2003700000000026
0.9 , 0.34906585039886595 , 0.7 , 3.2003800000000027
0.9 , 0.34906585039886595 , 0.7 , 3.2003900000000027
0.9 , 0.34906585039886595 , 0.7 , 3.200400000000003
0.9 , 0.34906585039886595 , 0.7 , 3.200410000000003
0.9 , 0.34906585039886595 , 0.7 , 3.200420000000003
0.9 , 0.34906585039886595 , 0.7 , 3.200430000000003
0.9 , 0.34906585039886595 , 0.7 , 3.200440000000003
0.9 , 0.34906585039886595 , 0.7 , 3.200450000000003
0.9 , 0.34906585039886595 , 0.7 , 3.200460000000003
0.9 , 0.34906585039886595 , 0.7 , 3.2004700000000033
0.9 , 0.34906585039886595 , 0.7 , 3.2004800000000033
0.9 , 0.34906585039886595 , 0.7 , 3.2004900000000034
0.9 , 0.34906585039886595 , 0.7 , 3.2005000000000035
0.9 , 0.34906585039886595 , 0.7 , 3.2005100000000035
0.9 , 0.34906585039886595 , 0.7 , 3.2005200000000036
0.9 , 0.34906585039886595 , 0.7 , 3.2005300000000036
0.9 , 0.34906585039886595 , 0.7 , 3.2005400000000037
0.9 , 0.34906585039886595 , 0.7 , 3.200550000000004
0.9 , 0.34906585039886595 , 0.7 , 3.200560000000004
0.9 , 0.34906585039886595 , 0.7 , 3.200570000000004
0.9 , 0.34906585039886595 , 0.7 , 3.200580000000004
0.9 , 0.34906585039886595 , 0.7 , 3.200590000000004
0.9 , 0.34906585039886595 , 0.7 , 3.200600000000004
0.9 , 0.34906585039886595 , 0.7 , 3.200610000000004
0.9 , 0.34906585039886595 , 0.7 , 3.2006200000000042
0.9 , 0.34906585039886595 , 0.7 , 3.2006300000000043
0.9 , 0.34906585039886595 , 0.7 , 3.2006400000000044
0.9 , 0.34906585039886595 , 0.7 , 3.2006500000000044
0.9 , 0.34906585039886595 , 0.7 , 3.2006600000000045
0.9 , 0.34906585039886595 , 0.7 , 3.2006700000000046
0.9 , 0.34906585039886595 , 0.7 , 3.2006800000000046
0.9 , 0.34906585039886595 , 0.7 , 3.2006900000000047
0.9 , 0.34906585039886595 , 0.7 , 3.2007000000000048
0.9 , 0.34906585039886595 , 0.7 , 3.200710000000005
0.9 , 0.34906585039886595 , 0.7 , 3.200720000000005
0.9 , 0.34906585039886595 , 0.7 , 3.200730000000005
0.9 , 0.34906585039886595 , 0.7 , 3.200740000000005
0.9 , 0.34906585039886595 , 0.7 , 3.200750000000005
0.9 , 0.34906585039886595 , 0.7 , 3.200760000000005
0.9 , 0.34906585039886595 , 0.7 , 3.2007700000000052
0.9 , 0.34906585039886595 , 0.7 , 3.2007800000000053
0.9 , 0.34906585039886595 , 0.7 , 3.2007900000000054
0.9 , 0.34906585039886595 , 0.7 , 3.2008000000000054
0.9 , 0.34906585039886595 , 0.7 , 3.2008100000000055
0.9 , 0.34906585039886595 , 0.7 , 3.2008200000000055
0.9 , 0.34906585039886595 , 0.7 , 3.2008300000000056
0.9 , 0.34906585039886595 , 0.7 , 3.2008400000000057
0.9 , 0.34906585039886595 , 0.7 , 3.2008500000000057
0.9 , 0.34906585039886595 , 0.7 , 3.200860000000006
0.9 , 0.34906585039886595 , 0.7 , 3.200870000000006
0.9 , 0.34906585039886595 , 0.7 , 3.200880000000006
0.9 , 0.34906585039886595 , 0.7 , 3.200890000000006
0.9 , 0.34906585039886595 , 0.7 , 3.200900000000006
0.9 , 0.34906585039886595 , 0.7 , 3.200910000000006
0.9 , 0.34906585039886595 , 0.7 , 3.200920000000006
0.9 , 0.34906585039886595 , 0.7 , 3.2009300000000063
