a , i , ecc , p , tResStart , tRes , E , Lz , Q , trigger
0.9 , 1.2217304763960306 , 0.3 , 5.072100000004584 , 4500.0 , 9223.983014246394 , 0.008 , 0.024 , 0.033 , 0.026500169470243435
0.9 , 1.2217304763960306 , 0.7 , 5.405849999994393 , 5200.0 , 13185.728063203325 , 0.125 , 0.027 , 0.126 , 0.02953589298626662
0.9 , 0.3490658503988659 , 0.3 , 2.92370000000005 , 400.0 , 3468.776059413148 , 0.059 , 0.07 , 0.31 , 0.043262463207987135
0.9 , 0.3490658503988659 , 0.7 , 3.2835300000005474 , 3600.0 , 8277.747465941196 , 0.026 , 0.009 , 0.035 , 0.02765239232134355
