a , i , ecc , p , tResStart , tRes , E , Lz , Q , trigger
0.9 , 1.2217304763960306 , 0.3 , 11.364699999989828 , 416500.0 , 256208.9187247608 , 0.003 , 0.004 , 0.002 , 0.00047728153660680296
0.9 , 1.2217304763960306 , 0.7 , 11.47059999998958 , 722000.0 , 494517.7136778316 , 0.047 , 0.06 , 0.002 , 0.0005199621900331699
0.9 , 0.3490658503988659 , 0.3 , 7.45899999999893 , 95600.0 , 100429.89732219762 , 0.001 , 0.001 , 0.006 , 0.0006975985748445438
0.9 , 0.3490658503988659 , 0.7 , 7.577099999998655 , 182700.0 , 199397.32470110536 , 0.001 , 0.002 , 0.023 , 0.0007200584077111958
